campaign	phase	mode	r	period_us	n	B_min	B_median	B_max	B_below_r_plus32	inside_median	bound_median	Q_median	FG_us	BG_p95_us
balanced	warmup	two	2	10	12	2	3.0	4	12	32.0	1.0	34.0	761.4375	821.9169999999999
balanced	warmup	two	2	100	12	2	2.0	8	12	31.0	0.0	34.0	763.0	328.77049999999997
balanced	warmup	two	2	1000	12	1	1.0	8	12	0.0	0.0	33.0	705.937	55.812
batch	measurement	batch	0	0	60	3	28.0	64	51	0.0	28.0	32.0	1154.833	1477.604
batch	measurement	batch	0	10	60	3	21.5	64	54	0.0	21.5	32.0	1039.854	820.5415
batch	measurement	batch	0	100	60	1	7.0	36	59	0.0	7.0	32.0	782.646	73.667
batch	measurement	batch	0	1000	60	1	1.0	6	60	0.0	1.0	32.0	624.0205000000001	51.375
batch	measurement	batch	2	0	60	2	29.0	44	59	0.0	27.0	32.0	1046.333	1376.8545
batch	measurement	batch	2	10	60	0	22.5	64	54	0.0	20.5	32.0	1000.1875	809.083
batch	measurement	batch	2	100	60	0	7.0	36	59	0.0	5.0	32.0	795.7080000000001	137.14600000000002
batch	measurement	batch	2	1000	60	1	1.0	9	60	0.0	0.0	32.0	647.979	52.0835
batch	measurement	rebase	0	0	60	2	29.0	64	46	0.0	29.0	32.0	971.1875	1390.1875
batch	measurement	rebase	0	10	60	0	18.0	64	54	0.0	18.0	32.0	887.396	831.875
batch	measurement	rebase	0	100	60	0	6.0	29	60	0.0	6.0	32.0	683.4375	144.29149999999998
batch	measurement	rebase	0	1000	60	1	1.0	8	60	0.0	1.0	32.0	611.4169999999999	50.9165
batch	measurement	rebase	2	0	60	7	29.0	35	58	0.0	27.0	32.0	1155.271	1500.75
batch	measurement	rebase	2	10	60	3	18.5	64	56	0.0	16.5	32.0	1040.8755	851.9585
batch	measurement	rebase	2	100	60	0	6.0	35	59	0.0	4.0	32.0	794.729	97.667
batch	measurement	rebase	2	1000	60	1	1.0	4	60	0.0	0.0	32.0	661.4785	53.6045
batch	measurement	three	0	0	60	3	29.0	64	49	28.0	29.0	32.0	1038.7710000000002	1426.8335
batch	measurement	three	0	10	60	3	24.0	64	54	22.0	24.0	32.0	936.437	726.0205000000001
batch	measurement	three	0	100	60	0	6.0	64	56	6.0	6.0	32.0	767.5835	207.91649999999998
batch	measurement	three	0	1000	60	1	1.0	8	60	1.0	1.0	32.0	613.4375	53.3955
batch	measurement	three	2	0	60	6	32.0	48	39	29.0	30.0	34.0	1115.1045	1500.354
batch	measurement	three	2	10	60	0	27.0	64	49	21.5	25.0	34.0	1121.563	904.938
batch	measurement	three	2	100	60	1	7.0	14	60	5.0	5.0	34.0	802.3125	116.625
batch	measurement	three	2	1000	60	0	1.0	3	60	0.0	0.0	33.0	683.354	50.063
batch	warmup	batch	0	0	12	23	28.0	32	11	0.0	28.0	32.0	1154.417	1526.917
batch	warmup	batch	0	10	12	15	24.5	32	11	0.0	24.5	32.0	1238.6875	1064.0625
batch	warmup	batch	0	100	12	7	8.0	28	12	0.0	8.0	32.0	793.521	80.1665
batch	warmup	batch	0	1000	12	1	1.0	10	12	0.0	1.0	32.0	801.2705000000001	59.1045
batch	warmup	batch	2	0	12	17	28.5	33	12	0.0	26.5	32.0	1188.2289999999998	1508.292
batch	warmup	batch	2	10	12	10	30.0	32	12	0.0	28.0	32.0	1110.6875	893.6875
batch	warmup	batch	2	100	12	3	8.5	11	12	0.0	6.5	32.0	869.9795	79.5625
batch	warmup	batch	2	1000	12	1	1.0	10	12	0.0	0.0	32.0	890.375	67.2705
batch	warmup	rebase	0	0	12	19	29.5	33	9	0.0	29.5	32.0	1231.0005	1560.708
batch	warmup	rebase	0	10	12	10	27.0	36	11	0.0	27.0	32.0	1157.8125	874.3125
batch	warmup	rebase	0	100	12	3	9.0	30	12	0.0	9.0	32.0	996.1875	98.0415
batch	warmup	rebase	0	1000	12	1	1.0	10	12	0.0	1.0	32.0	700.917	56.083
batch	warmup	rebase	2	0	12	25	29.5	32	12	0.0	27.5	32.0	1170.062	1511.8335
batch	warmup	rebase	2	10	12	11	26.5	32	12	0.0	24.5	32.0	1254.083	1064.8955
batch	warmup	rebase	2	100	12	8	9.0	29	12	0.0	7.0	32.0	880.5835	62.7915
batch	warmup	rebase	2	1000	12	1	1.0	8	12	0.0	0.0	32.0	681.8544999999999	56.3545
batch	warmup	three	0	0	12	18	28.0	31	12	27.5	28.0	32.0	1215.813	1583.146
batch	warmup	three	0	10	12	9	23.5	30	12	22.5	23.5	32.0	1143.854	991.5830000000001
batch	warmup	three	0	100	12	3	8.0	26	12	8.0	8.0	32.0	816.854	144.35399999999998
batch	warmup	three	0	1000	12	1	1.0	9	12	1.0	1.0	32.0	705.8335	61.125
batch	warmup	three	2	0	12	14	32.5	36	8	29.5	30.5	34.0	1194.688	1548.354
batch	warmup	three	2	10	12	15	31.0	35	9	28.0	29.0	34.0	1168.729	927.0205000000001
batch	warmup	three	2	100	12	3	8.0	30	12	6.0	6.0	34.0	909.5	166.562
batch	warmup	three	2	1000	12	1	1.5	10	12	0.0	0.0	33.5	1049.9165	75.083
initial	measurement	baseline	0	0	30	64	64.0	64	0	NA	32.0	NA	1203.0625	744.271
initial	measurement	baseline	0	10	30	13	64.0	64	3	NA	32.0	NA	1190.5	121.125
initial	measurement	baseline	0	100	30	0	4.0	23	30	NA	4.0	NA	630.9375	68.4165
initial	measurement	baseline	0	1000	30	1	1.0	6	30	NA	1.0	NA	492.9995	40.875
initial	measurement	original	0	0	30	5	64.0	64	1	0.0	32.0	83.0	1356.021	811.8335
initial	measurement	original	0	10	30	0	64.0	64	3	0.0	32.0	83.0	1470.833	260.1245
initial	measurement	original	0	100	30	2	7.0	64	27	0.0	7.0	39.0	755.2285	86.625
initial	measurement	original	0	1000	30	1	1.0	4	30	0.0	1.0	33.0	613.437	48.5205
initial	measurement	three	0	0	30	5	28.5	32	26	28.5	28.5	32.0	1045.6875	1349.646
initial	measurement	three	0	10	30	0	23.0	32	27	22.0	23.0	32.0	1009.333	816.021
initial	measurement	three	0	100	30	2	7.0	36	29	7.0	7.0	32.0	685.4585	69.0
initial	measurement	three	0	1000	30	1	1.0	4	30	1.0	1.0	32.0	617.7085	45.0215
initial	measurement	three	2	0	30	3	30.5	64	25	27.0	28.5	34.0	1048.4789999999998	1360.0
initial	measurement	three	2	10	30	0	27.5	47	26	22.0	25.5	34.0	1065.521	920.1875
initial	measurement	three	2	100	30	1	6.0	29	30	4.0	4.0	34.0	692.875	69.1875
initial	measurement	three	2	1000	30	0	1.0	7	30	0.0	0.0	33.0	559.646	45.521
initial	measurement	two	0	0	30	0	0.0	0	30	32.0	0.0	32.0	677.3335	1350.8755
initial	measurement	two	0	10	30	0	0.0	2	30	32.0	0.0	32.0	653.8125	725.4375
initial	measurement	two	0	100	30	0	0.0	0	30	32.0	0.0	32.0	723.4375	501.97950000000003
initial	measurement	two	0	1000	30	0	0.0	0	30	32.0	0.0	32.0	765.2295	54.083
initial	measurement	two	2	0	30	2	3.0	36	29	32.0	1.0	34.0	682.0835	1228.1045
initial	measurement	two	2	10	30	2	3.0	7	30	32.0	1.0	34.0	679.0	671.646
initial	measurement	two	2	100	30	0	2.0	16	30	29.0	0.0	34.0	686.1665	232.8125
initial	measurement	two	2	1000	30	0	1.0	1	30	0.0	0.0	33.0	581.354	43.021
initial	warmup	baseline	0	0	6	64	64.0	64	0	NA	32.0	NA	1794.75	831.9375
initial	warmup	baseline	0	10	6	64	64.0	64	0	NA	32.0	NA	3551.8334999999997	208.91649999999998
initial	warmup	baseline	0	100	6	7	9.5	64	5	NA	9.5	NA	993.125	53.6455
initial	warmup	baseline	0	1000	6	1	1.0	1	6	NA	1.0	NA	659.1665	46.521
initial	warmup	original	0	0	6	64	64.0	64	0	0.0	32.0	83.0	1511.583	863.5
initial	warmup	original	0	10	6	64	64.0	64	0	0.0	32.0	84.5	3965.4795	591.4165
initial	warmup	original	0	100	6	7	11.0	64	4	0.0	11.0	43.0	1182.4375	92.604
initial	warmup	original	0	1000	6	1	1.0	1	6	0.0	1.0	33.0	699.9794999999999	53.9585
initial	warmup	three	0	0	6	16	27.0	32	5	26.5	27.0	32.0	1382.9375	1822.396
initial	warmup	three	0	10	6	14	24.5	31	6	24.5	24.5	32.0	1355.6039999999998	3073.8125
initial	warmup	three	0	100	6	2	7.0	17	6	7.0	7.0	32.0	972.7705	240.125
initial	warmup	three	0	1000	6	1	1.0	4	6	1.0	1.0	32.0	728.812	49.3335
initial	warmup	three	2	0	6	22	32.0	38	4	29.5	30.0	34.0	1338.229	2057.6459999999997
initial	warmup	three	2	10	6	7	27.5	39	3	25.0	25.5	34.0	1256.3955	1051.75
initial	warmup	three	2	100	6	7	9.5	22	6	7.5	7.5	34.0	944.8330000000001	65.6665
initial	warmup	three	2	1000	6	1	1.0	2	6	0.0	0.0	33.0	784.7295	49.479
initial	warmup	two	0	0	6	0	0.0	0	6	32.0	0.0	32.0	762.5	1587.687
initial	warmup	two	0	10	6	0	0.0	1	6	32.0	0.0	32.0	1152.1045	1507.521
initial	warmup	two	0	100	6	0	0.0	1	6	32.0	0.0	32.0	948.5835	766.2085
initial	warmup	two	0	1000	6	0	0.0	0	6	32.0	0.0	32.0	745.9795	47.354
initial	warmup	two	2	0	6	3	3.0	5	6	32.0	1.0	34.0	833.729	1527.7710000000002
initial	warmup	two	2	10	6	2	3.0	8	6	32.0	1.0	34.0	881.854	999.979
initial	warmup	two	2	100	6	2	2.0	2	6	32.0	0.0	34.0	907.1044999999999	467.9375
initial	warmup	two	2	1000	6	1	1.5	8	6	6.0	0.0	33.5	1056.9375	58.0835
rebase	measurement	baseline	0	0	80	40	64.0	64	0	NA	32.0	NA	1353.729	760.854
rebase	measurement	baseline	0	10	80	0	64.0	64	5	NA	32.0	NA	1261.4375	186.8955
rebase	measurement	baseline	0	100	80	1	6.0	64	74	NA	6.0	NA	704.4794999999999	62.2705
rebase	measurement	baseline	0	1000	80	0	1.0	7	80	NA	1.0	NA	595.875	37.4165
rebase	measurement	original	0	0	80	0	64.0	64	1	0.0	32.0	84.0	1254.7705	715.229
rebase	measurement	original	0	10	80	12	64.0	64	5	0.0	32.0	84.0	1309.75	184.16649999999998
rebase	measurement	original	0	100	80	1	6.0	64	74	0.0	6.0	37.0	700.4375	51.021
rebase	measurement	original	0	1000	80	0	1.0	9	80	0.0	1.0	33.0	576.9585	36.1045
rebase	measurement	rebase	0	0	80	1	29.0	34	64	0.0	29.0	32.0	1027.8335	1343.5414999999998
rebase	measurement	rebase	0	10	80	2	22.5	37	74	0.0	22.5	32.0	858.521	803.5830000000001
rebase	measurement	rebase	0	100	80	1	6.0	38	78	0.0	6.0	32.0	680.9585	63.0835
rebase	measurement	rebase	0	1000	80	0	1.0	8	80	0.0	1.0	32.0	570.75	34.813
rebase	measurement	rebase	2	0	80	1	30.0	64	76	0.0	28.0	32.0	1144.5415	1459.542
rebase	measurement	rebase	2	10	80	4	26.0	64	78	0.0	24.0	32.0	1085.7289999999998	838.896
rebase	measurement	rebase	2	100	80	0	7.0	37	79	0.0	5.0	32.0	792.8330000000001	88.021
rebase	measurement	rebase	2	1000	80	1	1.0	5	80	0.0	0.0	32.0	615.5205000000001	37.208
rebase	measurement	three	0	0	80	8	29.0	33	68	29.0	29.0	32.0	1011.813	1293.854
rebase	measurement	three	0	10	80	2	25.0	64	74	21.0	25.0	32.0	1013.604	816.2495
rebase	measurement	three	0	100	80	0	6.0	64	75	6.0	6.0	32.0	713.354	85.167
rebase	measurement	three	0	1000	80	0	1.0	8	80	1.0	1.0	32.0	553.771	35.563
rebase	measurement	three	2	0	80	6	32.0	64	57	28.5	30.0	34.0	993.5415	1310.542
rebase	measurement	three	2	10	80	0	22.0	64	69	18.0	20.0	34.0	888.104	731.4375
rebase	measurement	three	2	100	80	1	5.0	41	79	2.0	3.0	34.0	693.979	59.9995
rebase	measurement	three	2	1000	80	0	1.0	8	80	0.0	0.0	33.0	545.9580000000001	36.125
rebase	measurement	two	0	0	80	0	0.0	5	80	32.0	0.0	32.0	656.8745	1262.3955
rebase	measurement	two	0	10	80	0	0.0	2	80	32.0	0.0	32.0	669.708	728.979
rebase	measurement	two	0	100	80	0	0.0	1	80	32.0	0.0	32.0	689.3544999999999	467.1875
rebase	measurement	two	0	1000	80	0	0.0	1	80	32.0	0.0	32.0	689.125	37.8125
rebase	measurement	two	2	0	80	2	3.0	20	80	32.0	1.0	34.0	603.875	1198.687
rebase	measurement	two	2	10	80	2	3.0	13	80	32.0	1.0	34.0	653.0	735.7285
rebase	measurement	two	2	100	80	0	2.0	14	80	29.0	0.0	34.0	666.3755	306.10400000000004
rebase	measurement	two	2	1000	80	1	1.0	8	80	0.0	0.0	33.0	635.271	37.4165
rebase	warmup	baseline	0	0	16	64	64.0	64	0	NA	32.0	NA	1758.771	930.6045
rebase	warmup	baseline	0	10	16	64	64.0	64	0	NA	32.0	NA	1924.625	488.52049999999997
rebase	warmup	baseline	0	100	16	2	8.0	37	15	NA	8.0	NA	843.9585	134.5205
rebase	warmup	baseline	0	1000	16	1	1.0	9	16	NA	1.0	NA	704.9375	40.9375
rebase	warmup	original	0	0	16	64	64.0	64	0	0.0	32.0	83.0	1350.125	839.25
rebase	warmup	original	0	10	16	37	64.0	64	0	0.0	32.0	84.0	1866.625	254.25
rebase	warmup	original	0	100	16	2	8.0	64	13	0.0	8.0	40.0	778.6455000000001	146.41649999999998
rebase	warmup	original	0	1000	16	1	1.0	12	16	0.0	1.0	33.0	672.6455000000001	43.2295
rebase	warmup	rebase	0	0	16	23	29.0	36	14	0.0	29.0	32.0	1278.2295	1752.0625
rebase	warmup	rebase	0	10	16	7	28.0	32	15	0.0	28.0	32.0	1081.7915	825.646
rebase	warmup	rebase	0	100	16	0	8.0	29	16	0.0	8.0	32.0	765.75	188.70850000000002
rebase	warmup	rebase	0	1000	16	1	1.0	11	16	0.0	1.0	32.0	684.4794999999999	58.7295
rebase	warmup	rebase	2	0	16	23	27.5	32	16	0.0	25.5	32.0	1539.5	3857.0415000000003
rebase	warmup	rebase	2	10	16	11	26.5	32	16	0.0	24.5	32.0	1083.3125	832.479
rebase	warmup	rebase	2	100	16	2	8.0	27	16	0.0	6.0	32.0	1010.5835	99.2705
rebase	warmup	rebase	2	1000	16	1	1.0	10	16	0.0	0.0	32.0	866.4795	47.1665
rebase	warmup	three	0	0	16	14	29.0	32	15	29.0	29.0	32.0	1139.4585	1498.3955
rebase	warmup	three	0	10	16	3	24.5	31	16	24.5	24.5	32.0	1075.0210000000002	885.2085
rebase	warmup	three	0	100	16	1	8.0	28	16	8.0	8.0	32.0	884.271	210.667
rebase	warmup	three	0	1000	16	1	1.0	12	16	1.0	1.0	32.0	887.771	46.708
rebase	warmup	three	2	0	16	24	32.0	35	11	29.0	30.0	34.0	1180.5	1602.479
rebase	warmup	three	2	10	16	15	29.5	35	11	26.0	27.5	34.0	1189.1460000000002	894.2085
rebase	warmup	three	2	100	16	2	8.0	25	16	5.5	6.0	34.0	773.5205000000001	212.917
rebase	warmup	three	2	1000	16	1	1.0	10	16	0.0	0.0	33.0	715.271	50.6665
rebase	warmup	two	0	0	16	0	0.0	1	16	32.0	0.0	32.0	868.688	1647.208
rebase	warmup	two	0	10	16	0	0.0	0	16	32.0	0.0	32.0	715.4165	824.2705000000001
rebase	warmup	two	0	100	16	0	0.0	1	16	32.0	0.0	32.0	755.8125	520.875
rebase	warmup	two	0	1000	16	0	0.0	1	16	32.0	0.0	32.0	959.8545	52.5205
rebase	warmup	two	2	0	16	2	3.0	8	16	32.0	1.0	34.0	733.542	1390.583
rebase	warmup	two	2	10	16	2	3.0	8	16	32.0	1.0	34.0	852.1665	912.521
rebase	warmup	two	2	100	16	2	2.0	8	16	30.0	0.0	34.0	765.4375	342.89599999999996
rebase	warmup	two	2	1000	16	1	1.0	8	16	0.0	0.0	33.0	652.2505	48.792
